training_state,yellow_state,lane_ids,#of_cars,ratio,max_ratio,new_max_ratio,tl_durations,tl_id,action,reward
284,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[4, 4, 4, 4, 4, 23, 23, 8, 8, 34, 34, 37, 10, 14, 14, 13, 25]","[0.09201748332183116, 0.09201748332183116, 0.09201748332183116, 0.09201748332183116, 0.09201748332183116, 0.6143249406617954, 0.6143249406617954, 0.22339088751338018, 0.22339088751338018, 0.5855453937095695, 0.5855453937095695, 0.6022752621012715, 0.16729868391701985, 0.4182433778131846, 0.4182433778131846, 0.38836885082652856, 0.7468631746664011]",0.7468631746664011,0.7468631746664011,"[45.0, 3.0, 38.0]",JM1,"('no_change', 'JM1')",1
284,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[1, 0, 0, 3, 1, 20, 20, 22, 22]","[0.0, 0.0, 0.0, 0.11314350367716387, 0.037714501225721286, 0.46008741660915575, 0.46008741660915575, 0.5060961582700714, 0.5060961582700714]",0.5060961582700714,0.5060961582700714,"[45.0, 3.0, 30.0]",JM2,"('decrease_red', 'JM2')",1
285,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[4, 5, 2, 0]","[0.09454774661203909, 0.14182161991805864, 0.047273873306019544, 0.0]",0.14182161991805864,0.11818468326504886,"[45.0, 3.0, 30.0]",J3,"('no_change', 'J3')",2
285,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[1, 1, 0, 0, 0, 26, 26, 26, 26, 12, 12, 12, 0, 0, 20, 20, 5]","[0.016724738675958188, 0.016724738675958188, 0.0, 0.0, 0.0, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.8526764566556135, 0.8526764566556135, 0.8526764566556135, 0.0, 0.0, 0.5534249235399776, 0.5534249235399776, 0.14563813777367832]",0.8526764566556135,0.8526764566556135,"[45.0, 3.0, 30.0]",JM0,"('no_change', 'JM0')",1
285,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[5, 5, 4, 4, 4, 20, 20, 8, 8, 35, 35, 36, 10, 12, 12, 13, 25]","[0.11502185415228894, 0.11502185415228894, 0.09201748332183116, 0.09201748332183116, 0.09201748332183116, 0.586401079722623, 0.586401079722623, 0.2513147484525527, 0.2513147484525527, 0.5855453937095695, 0.5855453937095695, 0.6022752621012715, 0.16729868391701985, 0.4182433778131846, 0.4182433778131846, 0.3584943238398725, 0.7468631746664011]",0.7468631746664011,0.7468631746664011,"[45.0, 3.0, 38.0]",JM1,"('decrease_green', 'JM1')",1
285,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[2, 1, 0, 0, 1, 22, 22, 22, 22]","[0.07542900245144257, 0.037714501225721286, 0.0, 0.037714501225721286, 0.037714501225721286, 0.48309178743961356, 0.48309178743961356, 0.5060961582700714, 0.5060961582700714]",0.5060961582700714,0.5060961582700714,"[45.0, 3.0, 30.0]",JM2,"('increase_red', 'JM2')",1
286,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[3, 3, 0, 0]","[0.07091080995902932, 0.07091080995902932, 0.023636936653009772, 0.0]",0.07091080995902932,0.07091080995902932,"[45.0, 3.0, 30.0]",J3,"('increase_green', 'J3')",1
286,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[0, 0, 0, 0, 0, 26, 26, 26, 26, 12, 12, 12, 0, 0, 21, 21, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.8526764566556135, 0.8526764566556135, 0.8526764566556135, 0.0, 0.0, 0.6116801786494489, 0.6116801786494489, 0.14563813777367832]",0.8526764566556135,0.8526764566556135,"[45.0, 3.0, 30.0]",JM0,"('increase_red', 'JM0')",1
286,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[7, 7, 4, 4, 4, 20, 20, 6, 6, 36, 36, 36, 9, 12, 12, 13, 25]","[0.1610305958132045, 0.1610305958132045, 0.09201748332183116, 0.09201748332183116, 0.09201748332183116, 0.5584772187834505, 0.5584772187834505, 0.16754316563503513, 0.16754316563503513, 0.5855453937095695, 0.5855453937095695, 0.6190051304929735, 0.15056881552531787, 0.32861979685321646, 0.32861979685321646, 0.38836885082652856, 0.7468631746664011]",0.7468631746664011,0.7468631746664011,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",1
286,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[3, 2, 0, 0, 0, 23, 23, 23, 23]","[0.11314350367716387, 0.07542900245144257, 0.0, 0.0, 0.0, 0.5291005291005291, 0.5291005291005291, 0.5060961582700714, 0.5060961582700714]",0.5291005291005291,0.5291005291005291,"[45.0, 3.0, 30.0]",JM2,"('no_change', 'JM2')",1
