training_state,tls_id,action,tl_durations,reward,max_previous_local,max_new_local,neighbors,max_previous_neighbors,max_new_neighbors
776,JM2,"('decrease_green', 'JM2')","[74.0, 3.0, 33.0]",5,0.5060961582700714,0.48309178743961356,"['JM1', 'J3']","[0.7818681062968307, 0.18909549322407818]","[0.7818681062968307, 0.1654585565710684]"
777,J3,"('decrease_green', 'J3')","[68.0, 3.0, 25.0]",2,0.1654585565710684,0.1654585565710684,['JM2'],[0.46008741660915575],[0.46008741660915575]
777,JM0,"('increase_red', 'JM0')","[69.0, 3.0, 42.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
777,JM1,"('increase_green', 'JM1')","[73.0, 3.0, 34.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.43708304577869794]","[0.7994260530900892, 0.43708304577869794]"
777,JM2,"('decrease_green', 'JM2')","[73.0, 3.0, 33.0]",5,0.43708304577869794,0.4140786749482402,"['JM1', 'J3']","[0.7818681062968307, 0.18909549322407818]","[0.7818681062968307, 0.1654585565710684]"
778,J3,"('increase_red', 'J3')","[67.0, 3.0, 25.0]",3,0.18909549322407818,0.1654585565710684,['JM2'],[0.4140786749482402],[0.4140786749482402]
778,JM0,"('increase_green', 'JM0')","[69.0, 3.0, 43.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
778,JM1,"('increase_green', 'JM1')","[74.0, 3.0, 34.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.4140786749482402]","[0.7994260530900892, 0.4140786749482402]"
778,JM2,"('increase_green', 'JM2')","[72.0, 3.0, 33.0]",3,0.4140786749482402,0.4140786749482402,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.1654585565710684]"
779,J3,"('increase_green', 'J3')","[67.0, 3.0, 26.0]",-1,0.14182161991805864,0.1654585565710684,['JM2'],[0.4140786749482402],[0.4140786749482402]
779,JM0,"('decrease_red', 'JM0')","[70.0, 3.0, 43.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
779,JM1,"('increase_red', 'JM1')","[75.0, 3.0, 34.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.4140786749482402]","[0.7994260530900892, 0.4140786749482402]"
779,JM2,"('increase_green', 'JM2')","[73.0, 3.0, 33.0]",3,0.4140786749482402,0.4140786749482402,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.1654585565710684]"
780,J3,"('no_change', 'J3')","[68.0, 3.0, 26.0]",3,0.1654585565710684,0.14182161991805864,['JM2'],[0.4140786749482402],[0.4140786749482402]
780,JM0,"('no_change', 'JM0')","[70.0, 3.0, 42.0]",2,0.7686788972020088,0.7686788972020088,['JM1'],[0.7818681062968307],[0.7818681062968307]
780,JM1,"('decrease_red', 'JM1')","[75.0, 3.0, 35.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7686788972020088, 0.43708304577869794]","[0.7686788972020088, 0.43708304577869794]"
780,JM2,"('decrease_green', 'JM2')","[74.0, 3.0, 33.0]",0,0.43708304577869794,0.46008741660915575,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.1654585565710684]"
781,J3,"('increase_green', 'J3')","[68.0, 3.0, 26.0]",2,0.14182161991805864,0.14182161991805864,['JM2'],[0.46008741660915575],[0.46008741660915575]
781,JM0,"('decrease_red', 'JM0')","[70.0, 3.0, 42.0]",2,0.7379317413139285,0.7379317413139285,['JM1'],[0.7818681062968307],[0.7818681062968307]
781,JM1,"('increase_red', 'JM1')","[75.0, 3.0, 34.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7379317413139285, 0.48309178743961356]","[0.7379317413139285, 0.48309178743961356]"
781,JM2,"('increase_green', 'JM2')","[73.0, 3.0, 33.0]",-3,0.48309178743961356,0.5060961582700714,"['JM1', 'J3']","[0.7818681062968307, 0.11818468326504886]","[0.7818681062968307, 0.14182161991805864]"
782,J3,"('increase_green', 'J3')","[69.0, 3.0, 26.0]",0,0.11818468326504886,0.09454774661203909,['JM2'],[0.5060961582700714],[0.5291005291005291]
782,JM0,"('decrease_red', 'JM0')","[70.0, 3.0, 41.0]",3,0.7379317413139285,0.7071845854258481,['JM1'],[0.7818681062968307],[0.7818681062968307]
782,JM1,"('no_change', 'JM1')","[75.0, 3.0, 35.0]",0,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7071845854258481, 0.5291005291005291]","[0.7071845854258481, 0.5521048999309869]"
782,JM2,"('increase_red', 'JM2')","[74.0, 3.0, 33.0]",3,0.5521048999309869,0.5521048999309869,"['JM1', 'J3']","[0.7818681062968307, 0.09454774661203909]","[0.7818681062968307, 0.09454774661203909]"
783,J3,"('no_change', 'J3')","[70.0, 3.0, 26.0]",2,0.09454774661203909,0.09454774661203909,['JM2'],[0.5751092707614447],[0.5751092707614447]
